Film,Production,Cast
Ride Along,Universal Pictures,"Tim Story (director); Greg Coolidge, Jason Mantzoukas, Phil Hay, Matt Manfredi (screenplay); Ice Cube, Kevin Hart, John Leguizamo, Bryan Callen, Tika Sumpter, Laurence Fishburne"
Black Water Vampire,Image Entertainment,"Evan Tramel (director/screenplay); Bill Oberst Jr., Danielle Lozeau, Andrea Monier, Anthony Fanelli"
"I, Frankenstein",Lionsgate / Lakeshore Entertainment / SKE Films,"Stuart Beattie (director/screenplay); Aaron Eckhart, Bill Nighy, Yvonne Strahovski, Miranda Otto, Socratis Otto, Jai Courtney, Kevin Grievoux"
Mega Shark Versus Mecha Shark,The Asylum,"Emile Edwin Smith (director); Jose Prendes, H. Perry Horton (screenplay); Christopher Judge, Elisabeth Röhm, Debbie Gibson"
That Awkward Moment,Sony Pictures,"Tom Gormican (director/screenplay); Zac Efron, Miles Teller, Michael B. Jordan, Imogen Poots, Mackenzie Davis, Jessica Lucas"
Somewhere Slow,Screen Media Films,"Jeremy O'Keefe (director/screenplay); Jessalyn Gilsig, Graham Patrick Martin, David Costabile, Wallace Langham, Lindsay Crouse, Robert Forster"
Android Cop,The Asylum,"Mark Atkins (director/screenplay); Michael Jai White, Charles S. Dutton, Randy Wayne, Kadeem Hardison"
The Outsider,Oak Street Films,"Brian A. Miller (director/screenplay); Craig Fairbrass, James Caan, Shannon Elizabeth, Jason Patric, Melissa Ordway, Johnny Messner"
Scorned,Anchor Bay Films,"Mark Jones (director/screenplay); Sadie Katz (screenplay); AnnaLynne McCord, Billy Zane, Viva Bianca"
After the Dark,Phase 4 Films,"John Huddles (director/screenplay); James D'Arcy, Sophie Lowe, Daryl Sabara, Freddie Stroma, Rhys Wakefield, Bonnie Wright"
Nurse 3D,Lionsgate,"Doug Aarniokoski (director/screenplay); David Loughery (screenplay); Paz de la Huerta, Katrina Bowden, Corbin Bleu"
The Lego Movie,Warner Bros. Pictures / Warner Animation Group / Village Roadshow Pictures,"Phil Lord and Christopher Miller (director/screenplay); Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett, Nick Offerman, Alison Brie, Charlie Day, Liam Neeson, Morgan Freeman"
The Monuments Men,Columbia Pictures,"George Clooney (director/screenplay); Grant Heslov (screenplay); George Clooney, Matt Damon, Bill Murray, John Goodman, Jean Dujardin, Bob Balaban, Hugh Bonneville, Cate Blanchett"
The Pretty One,Dada Films,"Jenée LaMarque (director/screenplay); Zoe Kazan, Jake Johnson, John Carroll Lynch, Shae D'lyn, Frankie Shaw, Sterling Beaumon, Ron Livingston"
Vampire Academy,The Weinstein Company,"Mark Waters (director); Daniel Waters (screenplay); Zoey Deutch, Lucy Fry, Danila Kozlovsky, Dominic Sherwood, Cameron Monaghan, Sami Gayle, Sarah Hyland, Joely Richardson, Olga Kurylenko, Gabriel Byrne"
RoboCop,Metro-Goldwyn-Mayer / Columbia Pictures,"José Padilha (director); Joshua Zetumer, Edward Neumeier, Michael Miner (screenplay); Joel Kinnaman, Gary Oldman, Michael Keaton, Samuel L. Jackson, Abbie Cornish, Jackie Earle Haley, Michael K. Williams, Jennifer Ehle, Jay Baruchel"
About Last Night,Screen Gems / Rainforest Films,"Steve Pink (director); Leslye Headland (screenplay); Kevin Hart, Michael Ealy, Regina Hall, Joy Bryant, Christopher McDonald, Paula Patton"
Adult World,IFC Films,"Scott Coffey (director); Andy Cochran (screenplay); Emma Roberts, Evan Peters, John Cusack, Armando Riesco, Shannon Woodward, Reed Birney, Catherine Lloyd Burns"
Camp Takota,VHX,"Chris Riedell, Nick Riedell (director); Mamrie Hart, Lydia Genner (screenplay); Grace Helbig, Hannah Hart, Mamrie Hart"
Date and Switch,Lionsgate,"Chris Nelson (director); Alan Yang (screenplay); Nicholas Braun, Hunter Cope, Dakota Johnson, Zach Cregger, Nick Offerman, Gary Cole, Megan Mullally, Sarah Hyland, Brian Geraghty"
Endless Love,Universal Pictures,"Shana Feste (director/screenplay); Joshua Safran (screenplay); Alex Pettyfer, Gabriella Wilde, Bruce Greenwood, Joely Richardson, Robert Patrick"
Someone Marry Barry,FilmBuff,"Rob Pearlstein (director/screenplay); Tyler Labine, Lucy Punch, Damon Wayans, Jr., Hayes MacArthur, Thomas Middleditch"
Winter's Tale,Warner Bros. / Village Roadshow Pictures / Weed Road Pictures,"Akiva Goldsman (director/screenplay); Colin Farrell, Russell Crowe, Jessica Brown Findlay, Jennifer Connelly, Will Smith, William Hurt, Eva Marie Saint, Finn Wittrock, Matt Bomer, Kevin Durand, Kevin Corrigan, Graham Greene"
Apocalypse Pompeii,The Asylum,"Ben Demaree (director); Jacob Cooney, Bill Hanstock (screenplay); Adrian Paul, Jhey Castles, John Rhys-Davies, Dylan Vox, Dan Cade"
3 Days to Kill,Relativity Media,"McG (director); Adi Hasak, Luc Besson (screenplay); Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen"
Angels in Stardust,High-Motor Productions,"William Robert Carey (director/screenplay); Alicia Silverstone, AJ Michalka, Billy Burke"
Barefoot,Roadside Attractions,"Andrew Fleming (director); Stephen Zotnowski (screenplay); Evan Rachel Wood, Scott Speedman, Treat Williams, Kate Burton, J. K. Simmons"
Holy Ghost People,XLrator Media,"Mitchell Altieri (director/screenplay); Kevin Artigue, Joe Egender, Phil Flores (screenplay); Emma Greenwell, Brendan McCarthy, Cameron Richardson, Roger Aaron Brown, Donald Patrick Harvey, Joe Egender"
Pompeii,TriStar Pictures,"Paul W. S. Anderson (director); Janet Scott Batchler, Lee Batchler, Michael Robert Johnson (Screenplay); Kit Harington, Emily Browning, Carrie-Anne Moss, Adewale Akinnuoye-Agbaje, Jessica Lucas, Jared Harris, Kiefer Sutherland"
The Bag Man,Cinedigm,"David Grovic (director/screenplay); Paul Conway (screenplay); John Cusack, Rebecca Da Costa, Robert De Niro, Crispin Glover, Dominic Purcell, Sticky Fingaz"
Non-Stop,Universal Pictures / StudioCanal / Silver Pictures,"Jaume Collet-Serra (director); John W. Richardson, Chris Roach, Ryan Engle (screenplay); Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery, Nate Parker, Jason Butler Harner, Anson Mount"
Repentance,Lionsgate,"Philippe Caland (director); Shintaro Shimosawa (screenplay); Forest Whitaker, Anthony Mackie, Mike Epps, Nicole Ari Parker, Sanaa Lathan"
Son of God,20th Century Fox,"Christopher Spencer (director/screenplay); Richard Bedser, Colin Swash, Nic Young (screenplay); Diogo Morgado, Greg Hicks, Adrian Schiller, Darwin Shaw, Sebastian Knapp, Joe Wredden, Simon Kunz, Paul Marc Davis, Matthew Gravelle, Amber Rose Revah, Roma Downey"
300: Rise of an Empire,Warner Bros. Pictures / Legendary Pictures / Atmosphere Entertainment / Cruel and Unusual Films,"Noam Murro (director); Zack Snyder, Kurt Johnstad (screenplay); Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Rodrigo Santoro"
Mr. Peabody & Sherman,20th Century Fox / DreamWorks Animation / Bullwinkle Studios / PDI/DreamWorks,"Rob Minkoff (director); Craig Wright (screenplay); Ty Burrell, Max Charles, Ariel Winter, Stephen Colbert, Leslie Mann, Allison Janney"
The Grand Budapest Hotel,Fox Searchlight Pictures,"Wes Anderson (director/screenplay); Ralph Fiennes, Tony Revolori, F. Murray Abraham, Mathieu Amalric, Adrien Brody, Willem Dafoe, Jeff Goldblum, Jude Law, Bill Murray, Edward Norton, Saoirse Ronan, Jason Schwartzman, Léa Seydoux, Tilda Swinton, Tom Wilkinson, Owen Wilson"
Better Living Through Chemistry,Samuel Goldwyn Films,"David Posamentier, Geoff Moore (director/screenplay); Sam Rockwell, Olivia Wilde, Michelle Monaghan, Ben Schwartz, Ken Howard, Ray Liotta, Jane Fonda"
Need for Speed,Touchstone Pictures / DreamWorks Pictures / Reliance Entertainment / Electronic Arts,"Scott Waugh (director); George Gatins (screenplay); Aaron Paul, Dominic Cooper, Scott Mescudi, Imogen Poots, Ramón Rodríguez, Michael Keaton"
The Single Moms Club,Lionsgate / Tyler Perry Studios,"Tyler Perry (director/screenplay); Nia Long, Amy Smart, Cocoa Brown, Terry Crews, William Levy, Wendi McLendon-Covey, Ryan Eggold, Zulay Henao, Tyler Perry"
Veronica Mars,Warner Bros.,"Rob Thomas (director); Rob Thomas, Diane Ruggiero (screenplay); Kristen Bell, Jason Dohring, Krysten Ritter, Ryan Hansen, Francis Capra, Percy Daggs III, Chris Lowell, Tina Majorino, Enrico Colantoni"
Cheap Thrills,Drafthouse Films,"E. L. Katz (director); Trent Haaga, David Chirchirillo (screenplay); Pat Healy, Sara Paxton, Ethan Embry, David Koechner"
Divergent,Summit Entertainment / Red Wagon Entertainment,"Neil Burger (director); Evan Daugherty, Vanessa Taylor (screenplay); Shailene Woodley, Theo James, Ashley Judd, Jai Courtney, Ray Stevenson, Zoë Kravitz, Miles Teller, Tony Goldwyn, Maggie Q, Kate Winslet"
God's Not Dead,Pure Flix Entertainment,"Harold Cronk (director); Cary Solomon, Chuck Konzelman (screenplay); Kevin Sorbo, Shane Harper, David A. R. White, Dean Cain, Newsboys, Willie Robertson, Korie Robertson"
Muppets Most Wanted,Walt Disney Pictures / Mandeville Films,"James Bobin (director/screenplay); Nicholas Stoller (screenplay); Ricky Gervais, Ty Burrell, Tina Fey"
50 to 1,Ten Furlongs,"Jim Wilson (director/screenplay); Faith Conroy (screenplay); Skeet Ulrich, Christian Kane, William Devane, Madelyn Deutch, Todd Lowe, Calvin Borel"
Noah,Paramount Pictures / Regency Enterprises,"Darren Aronofsky (director/screenplay), Ari Handel (screenplay); Russell Crowe, Jennifer Connelly, Ray Winstone, Emma Watson, Anthony Hopkins, Logan Lerman"
Sabotage,Open Road Films,"David Ayer (director/screenplay); Skip Woods (screenplay); Arnold Schwarzenegger, Sam Worthington, Olivia Williams, Terrence Howard, Joe Manganiello, Harold Perrineau, Martin Donovan, Max Martini, Josh Holloway, Mireille Enos"
15 to Life: Kenneth's Story,Hitplay Productions,"Nadine Pequeneza (director, writer)"
The Ladies of the House,Gravitas Ventures,"John Stuart Wildman (director/screenplay); Justina Walford (screenplay); Farah White, Melodie Sisk, Brina Palencia, Belladonna"
Alien Abduction,IFC Midnight,"Matty Beckerman (director); Robert Lewis (screenplay); Katherine Sigismund, Corey Eid, Riley Polanski, Jillian Clare, Jeff Bowser, Peter Holden"
Captain America: The Winter Soldier,Marvel Studios / Walt Disney Studios Motion Pictures,"Anthony Russo, Joe Russo (director); Christopher Markus, Stephen McFeely (screenplay); Chris Evans, Scarlett Johansson, Sebastian Stan, Anthony Mackie, Cobie Smulders, Frank Grillo, Emily VanCamp, Hayley Atwell, Robert Redford, Samuel L. Jackson"
In the Blood,Anchor Bay Films,"John Stockwell (director); James Robert Johnston, Bennett Yellin (screenplay); Gina Carano, Cam Gigandet, Ismael Cruz Córdova, Luis Guzmán, Treat Williams, Amaury Nolasco, Stephen Lang, Danny Trejo"
Jinn,Freestyle Releasing,"Ajmal Zaheer Ahmad (director/screenplay); Dominic Rains, Ray Park, William Atherton, Faran Tahir, Serinda Swan"
Draft Day,Summit Entertainment / OddLot Entertainment,"Ivan Reitman (director); Rajiv Joseph, Scott Rothman (screenplay); Kevin Costner, Jennifer Garner, Denis Leary, Frank Langella, Sam Elliott, Ellen Burstyn, Chadwick Boseman"
Oculus,Relativity Media,"Mike Flanagan (director/screenplay); Jeff Howard (screenplay); Karen Gillan, Brenton Thwaites, Katee Sackhoff, Rory Cochrane, Annalise Basso, Garrett Ryan Ewald"
Rio 2,20th Century Fox / Blue Sky Studios,"Carlos Saldanha (director); Don Rhymer, Carlos Kotkin, Jenny Bicks, Yoni Brenner (screenplay); Jesse Eisenberg, Anne Hathaway, Leslie Mann, Jemaine Clement, George Lopez, Jamie Foxx, will.i.am, Bruno Mars, Andy García, Tracy Morgan, Rodrigo Santoro, Jake T. Austin"
Asian School Girls,The Asylum,"Lawrence Silverstein (director); Tim Culley (screenplay); Minnie Scarlet, Sam Aotaki, Catherine Hyein Kim, Devin Lung, Belle Hengsathorn"
Heaven Is for Real,TriStar Pictures,"Randall Wallace (director); Randall Wallace, Christopher Parker (screenplay); Greg Kinnear, Kelly Reilly, Connor Corum, Margo Martindale, Thomas Haden Church"
Authors Anonymous,Screen Media Films,"Ellie Kanner (director); David Congalton (screenplay); Kaley Cuoco, Chris Klein, Dennis Farina, Jonathan Bennett, Tricia Helfer, Jonathan Banks, Dylan Walsh, Teri Polo"
A Haunted House 2,Open Road Films,"Michael Tiddes (director); Marlon Wayans, Rick Alvarez (screenplay); Marlon Wayans, Jaime Pressly, Essence Atkins, Gabriel Iglesias, Missi Pyle, Ashley Rickards, Affion Crockett, Steele Stebbins, Rick Overton, Hayes MacArthur, Dave Sheridan, Cedric the Entertainer"
Kid Cannabis,Well Go USA Entertainment,"John Stockwell (director/screenplay); Jonathan Daniel Brown, Kenny Wormald, Aaron Yoo, Ron Perlman, John C. McGinley"
Transcendence,Warner Bros. / Alcon Entertainment,"Wally Pfister (director); Jack Paglen (screenplay); Johnny Depp, Morgan Freeman, Rebecca Hall, Kate Mara, Cillian Murphy, Cole Hauser, Paul Bettany"
13 Sins,Dimension Films,"Daniel Stamm (director); David Birke, Daniel Stamm (screenplay); Mark Webber, Devon Graye, Tom Bower, Rutina Wesley, Pruitt Taylor Vince, Ron Perlman"
Brick Mansions,Relativity Media,"Camille Delamarre (director); Luc Besson (screenplay); Paul Walker, David Belle, RZA, Goûchy Boy, Catalina Denis, Carlo Rota"
The Other Woman,20th Century Fox,"Nick Cassavetes (director); Melissa Stack (screenplay); Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau, Nicki Minaj, Taylor Kinney, Don Johnson"
Walking with the Enemy,Liberty Studios,"Mark Schmidt (director); Kenny Golde (screenplay); Jonas Armstrong, Hannah Tointon, Ben Kingsley"
The Amazing Spider-Man 2,Columbia Pictures / Marvel Entertainment,"Marc Webb (director); Alex Kurtzman, Roberto Orci, Jeff Pinkner (screenplay); Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan, Campbell Scott, Embeth Davidtz, Colm Feore, Paul Giamatti, Sally Field"
Bad Johnson,Gravitas Ventures,"Huck Botko (director); Jeff Tetreault (screenplay); Cam Gigandet, Nick Thune, Jamie Chung, Katherine Cunningham, Kevin Miller"
Decoding Annie Parker,Entertainment One Films,"Steven Bernstein (director/screenplay); Michael Moss, Adam Bernstein (screenplay); Samantha Morton, Alice Eve, Maggie Grace, Rashida Jones, Chris Mulkey, Aaron Paul, Richard Schiff, Marley Shelton, Corey Stoll, Bradley Whitford, Helen Hunt"
Walk of Shame,Focus Features,"Steven Brill (director/screenplay); Elizabeth Banks, James Marsden, Gillian Jacobs, Sarah Wright Olsen"
Devil's Knot,Image Entertainment,"Atom Egoyan (director); Paul Harris Boardman, Scott Derrickson (screenplay); Colin Firth, Reese Witherspoon, Dane DeHaan, Mireille Enos, Bruce Greenwood, Elias Koteas, Stephen Moyer, Alessandro Nivola, Amy Ryan"
God's Pocket,IFC Films,"John Slattery (director/screenplay); Alex Metcalf (screenplay); Philip Seymour Hoffman, Richard Jenkins, Christina Hendricks, John Turturro, Eddie Marsan, Peter Gerety, Caleb Landry Jones, Domenick Lombardozzi, Joyce Van Patten"
Moms' Night Out,TriStar Pictures,"Erwin brothers (director); Andrea Gyertson Nasfell, Jon Erwin (screenplay); Sarah Drew, Sean Astin, Patricia Heaton, David Hunt, Andrea Logan White, Trace Adkins"
Neighbors,Universal Pictures,"Nicholas Stoller (director); Andrew J. Cohen, Brendan O'Brien (screenplay); Seth Rogen, Zac Efron, Rose Byrne, Christopher Mintz-Plasse, Dave Franco"
Stage Fright,Entertainment One,"Jerome Sable (director/screenplay); Allie MacDonald, Douglas Smith, Brandon Uranowitz, Minnie Driver, Meat Loaf Aday"
Godzilla,Warner Bros. Pictures / Legendary Pictures,"Gareth Edwards (director); Max Borenstein (screenplay); Aaron Taylor-Johnson, Ken Watanabe, Elizabeth Olsen, Juliette Binoche, Sally Hawkins, David Strathairn, Bryan Cranston"
Million Dollar Arm,Walt Disney Pictures / Roth Films / Mayhem Pictures,"Craig Gillespie (director); Tom McCarthy (screenplay); Jon Hamm, Aasif Mandvi, Bill Paxton, Suraj Sharma, Lake Bell, Alan Arkin"
The Angriest Man in Brooklyn,Lionsgate,"Phil Alden Robinson (director); Daniel Taplitz (screenplay); Robin Williams, Mila Kunis, Peter Dinklage, James Earl Jones, Melissa Leo"
Blended,Warner Bros. Pictures / Happy Madison Productions,"Frank Coraci (director); Ivan Menchell, Clare Sera (screenplay); Adam Sandler, Drew Barrymore, Kevin Nealon, Terry Crews, Wendi McLendon-Covey"
Cold in July,IFC Films,"Jim Mickle (director/screenplay); Nick Damici (screenplay); Michael C. Hall, Sam Shepard, Vinessa Shaw, Nick Damici, Wyatt Russell, Don Johnson"
X-Men: Days of Future Past,20th Century Fox / TSG Entertainment / Bad Hat Harry Productions / Marvel Entertainment / The Donners' Company,"Bryan Singer (director); Simon Kinberg (screenplay); Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Halle Berry, Anna Paquin, Elliot Page, Peter Dinklage, Ian McKellen, Patrick Stewart"
Maleficent,Walt Disney Pictures / Roth Films,"Robert Stromberg (director); Linda Woolverton (screenplay); Angelina Jolie, Sharlto Copley, Elle Fanning, Sam Riley, Imelda Staunton, Juno Temple, Lesley Manville"
A Million Ways to Die in the West,Universal Pictures / Media Rights Capital / Fuzzy Door Productions / Bluegrass Films,"Seth MacFarlane (director); Seth MacFarlane, Alec Sulkin, Wellesley Wild
(screenplay); Seth MacFarlane, Charlize Theron, Amanda Seyfried, Giovanni Ribisi, Neil Patrick Harris, Sarah Silverman, Liam Neeson"
Edge of Tomorrow,Warner Bros. Pictures / Village Roadshow Pictures / RatPac Entertainment / 3 Arts Entertainment,"Doug Liman (director); Christopher McQuarrie, Jez Butterworth, John-Henry Butterworth (screenplay); Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson"
The Fault in Our Stars,20th Century Fox,"Josh Boone (director); Scott Neustadter, Michael H. Weber (screenplay); Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe"
Ping Pong Summer,Millennium Entertainment,"Michael Tully (director/screenplay); Marcello Conte, Myles Massey, Emmi Shockley, Joe McCaughtry, Andy Riddle, Helena Seabrook, Maddie Howard, Lea Thompson, John Hannah, Judah Friedlander, Amy Sedaris, Susan Sarandon"
22 Jump Street,Columbia Pictures / Metro-Goldwyn-Mayer / Original Film,"Phil Lord, Christopher Miller (director); Michael Bacall, Oren Uziel, Rodney Rothman (screenplay); Jonah Hill, Channing Tatum, Peter Stormare, Ice Cube"
Hellion,IFC Films,"Kat Candler (director/screenplay); Aaron Paul, Juliette Lewis, Josh Wiggins, Deke Garner, Jonny Mars, Annalee Jefferies"
How to Train Your Dragon 2,20th Century Fox / DreamWorks Animation,"Dean DeBlois (director/screenplay); Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill, Christopher Mintz-Plasse, T.J. Miller, Kristen Wiig, Djimon Hounsou, Kit Harington"
Lullaby,ARC Entertainment,"Andrew Levitas (director/screenplay); Garrett Hedlund, Richard Jenkins, Jessica Brown Findlay, Anne Archer, Jennifer Hudson, Jessica Barden, Terrence Howard, Amy Adams"
Murder 101,Upper Laventille Productions,"Michael Phillip Edwards (director); Sheldon F. Robins (screenplay); Tom Sizemore, Dante Basco, Sheldon F. Robins,Paige La Pierre, Randy Irwin, Malaak Hattab, Percy Daggs, Greg Winter, Jamison Haase, Rai Moore, Jasmine Waltz"
Obvious Child,A24 Films,"Gillian Robespierre (director/screenplay); Jenny Slate, Jake Lacy, Gaby Hoffmann, Gabe Liedman, Richard Kind, Polly Draper, David Cross"
The Signal,Focus Features,"William Eubank (director/screenplay); Carlyle Eubank, David Frigerio (screenplay); Brenton Thwaites, Olivia Cooke, Beau Knapp, Lin Shaye, Robert Longstreet, Laurence Fishburne"
Jersey Boys,Warner Bros. Pictures / RatPac Entertainment / GK Films,"Clint Eastwood (director); Marshall Brickman, Rick Elice (screenplay); John Lloyd Young, Erich Bergen, Michael Lomenda, Vincent Piazza, Christopher Walken"
Think Like a Man Too,Screen Gems / Will Packer Productions,"Tim Story (director); David A. Newman, Keith Merryman (screenplay); Michael Ealy, Jerry Ferrara, Meagan Good, Regina Hall, Taraji P. Henson, Terrence J, Romany Malco, Wendi McLendon-Covey, Gary Owen, Gabrielle Union, La La Anthony, Kevin Hart"
Rebound,Amerimum,"Megan Freels Johnson (director/screenplay); Ashley James, Mark Scheibmeir, Wes O'Lee, Kevin Bulla, Julia Beth Stern"
America: Imagine the World Without Her,Lionsgate,"John Sullivan, Dinesh D'Souza (director/screenplay); Bruce Schooley (screenplay)"
They Came Together,Lionsgate,"David Wain (director/screenplay); Michael Showalter (screenplay); Paul Rudd, Amy Poehler, Cobie Smulders, Christopher Meloni, Max Greenfield, Bill Hader, Ellie Kemper, Jason Mantzoukas, Melanie Lynskey, Ed Helms"
Transformers: Age of Extinction,Paramount Pictures,"Michael Bay (director); Ehren Kruger (screenplay); Mark Wahlberg, Stanley Tucci"
Deliver Us from Evil,Screen Gems / Jerry Bruckheimer Films,"Scott Derrickson (director/screenplay); Paul Harris Boardman (screenplay); Eric Bana, Édgar Ramírez, Olivia Munn, Sean Harris, Joel McHale"
Earth to Echo,Relativity Media,"Dave Green (director); Henry Gayden (screenplay); Teo Halm, Brian ""Astro"" Bradley, Reese C. Hartwig, Ella Linnea Wahlestedt"
School Dance,Lionsgate,"Nick Cannon (director/screenplay); Nile Evans (screenplay); Bobb'e J. Thompson, Luenell, Mike Epps, George Lopez, Lil Duval, Katt Williams, Wilmer Valderrama"
Tammy,Warner Bros. / Gary Sanchez Productions,"Ben Falcone (director/screenplay); Melissa McCarthy (screenplay); Melissa McCarthy, Susan Sarandon, Allison Janney, Gary Cole, Dan Aykroyd, Kathy Bates"
Boyhood,IFC Films,"Richard Linklater (director/screenplay); Patricia Arquette, Ellar Coltrane, Lorelei Linklater, Ethan Hawke"
Dawn of the Planet of the Apes,20th Century Fox / TSG Entertainment / Chernin Entertainment,"Matt Reeves (director); Mark Bomback, Rick Jaffa, Amanda Silver (screenplay); Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell, Kodi Smit-McPhee"
Rage,Image Entertainment,"Paco Cabezas (director); Jim Agnew, Sean Keller (screenplay); Nicolas Cage, Rachel Nichols, Max Ryan, Michael McGrady, Peter Stormare, Pasha D. Lychnikoff, Patrice Cols, Weston Cage, Max Fowler, Aubrey Peeples, Jack Falahee, Danny Glover"
Road to Paloma,WWE Studios,"Jason Momoa (director/screenplay); Jonathan Hirschbein, Robert Homer Mollohan (screenplay); Jason Momoa, Robert Homer Mollohan, Lisa Bonet, Michael Raymond-James, Chris Browning, Timothy V. Murphy, Sarah Shahi, Wes Studi"
Snowpiercer,The Weinstein Company,"Bong Joon-ho (director/screenplay); Kelly Masterson (screenplay); Chris Evans, Song Kang-ho, Tilda Swinton, Jamie Bell, Octavia Spencer, Go Ah-sung, John Hurt, Ed Harris"
I Origins,Fox Searchlight Pictures,"Mike Cahill (director/screenplay); Michael Pitt, Brit Marling, Àstrid Bergès-Frisbey, Steven Yeun, Archie Panjabi"
Persecuted,Millennium Entertainment,"Daniel Lusko (director/screenplay); James Remar, Bruce Davison, Dean Stockwell, Gretchen Carlson, Raoul Trujillo, Natalie Grant, Brad Stine, Fred Thompson"
Planes: Fire & Rescue,Walt Disney Pictures,"Bobs Gannaway (director/screenplay); Jeffrey M. Howard (screenplay); Dane Cook, Stacy Keach, Brad Garrett, Danny Mann, Teri Hatcher, Julie Bowen, Ed Harris, Regina King, Wes Studi, Dale Dye"
The Purge: Anarchy,Universal Pictures / Blumhouse Productions,"James DeMonaco (director/screenplay); Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez, Michael K. Williams"
Sex Tape,Columbia Pictures / Escape Artists,"Jake Kasdan (director); Kate Angelo, Jason Segel, Nicholas Stoller (screenplay); Cameron Diaz, Jason Segel, Rob Corddry, Ellie Kemper, Rob Lowe"
Tiger Orange,"Picture Stable
Wolfe Video","Wade Gasque (director); Mark Strano (screenplay); Frankie Valenti, Mark Strano, Gregory Marcel"
Wish I Was Here,Focus Features,"Zach Braff (director/screenplay); Adam Braff (screenplay); Zach Braff, Donald Faison, Josh Gad, Pierce Gagnon, Ashley Greene, Kate Hudson, Joey King, Jim Parsons, Mandy Patinkin"
And So It Goes,Clarius Entertainment,"Rob Reiner (director); Mark Andrus (screenplay); Michael Douglas, Diane Keaton, Sterling Jerins"
Happy Christmas,Magnolia Pictures,"Joe Swanberg (director/screenplay); Anna Kendrick, Melanie Lynskey, Mark Webber, Lena Dunham"
Hercules,Paramount Pictures / Metro-Goldwyn-Mayer,"Brett Ratner (director); Ryan J. Condal, Evan Spiliotopoulos (screenplay); Dwayne Johnson, Ian McShane, Rufus Sewell, Aksel Hennie, Ingrid Bolsø Berdal, Reece Ritchie, Tobias Santelmann, Joseph Fiennes, Peter Mullan, Rebecca Ferguson, Isaac Andrews, Irina Shayk, John Hurt"
