Film,Production,Cast
Wrong Turn,Saban Films / Constantin Film,"Mike P. Nelson (director); Alan B. McElroy (screenplay); Charlotte Vega, Adain Bradley, Bill Sage, Emma Dumont, Dylan McTee, Daisy Head, Matthew Modine"
Penguin Bloom,Netflix / Roadshow Films,"Glenda Ivin (director); Shaun Grant, Harry Cripps (screenplay); Naomi Watts, Andrew Lincoln, Jacki Weaver, Rachel House"
The Little Things,Warner Bros. Pictures / Gran Via Productions / HBO Max,"John Lee Hancock (director/screenplay); Denzel Washington, Rami Malek, Jared Leto, Chris Bauer, Michael Hyatt, Terry Kinney, Natalie Morales"
Finding ʻOhana,Netflix,"Jude Weng (director); Christina Strain (screenplay); Kea Peahu, Alex Aiono, Lindsay Watson, Owen Vaccaro, Kelly Hu, Branscombe Richmond, Chris Parnell, Marc Evan Jackson"
Nomadland,Searchlight Pictures / Hulu,"Chloé Zhao (director/screenplay); Frances McDormand, David Strathairn, Linda May, Charlene Swankie, Bob Wells"
Malcolm & Marie,Netflix,"Sam Levinson (director/screenplay); Zendaya, John David Washington"
Palmer,Apple TV+,"Fisher Stevens (director) Cheryl Guerriero (screenplay); Justin Timberlake, Juno Temple, Alisha Wainwright, June Squibb, Ryder Allen"
Falling,Quiver Distribution,"Viggo Mortensen (director/screenplay); Viggo Mortensen, Lance Henriksen, Terry Chen, Sverrir Gudnason, Hannah Gross, Laura Linney"
Bliss,Amazon Studios,"Mike Cahill (director/screenplay); Owen Wilson, Salma Hayek"
Little Fish,IFC Films / Black Bear Pictures,"Chad Hartigan (director); Mattson Tomlin (screenplay); Olivia Cooke, Jack O'Connell, Raúl Castillo, Soko"
Son of the South,Vertical Entertainment,"Barry Alexander Brown (director/screenplay); Lucas Till, Lucy Hale, Cedric the Entertainer, Brian Dennehy"
PVT Chat,Dark Star Pictures,"Ben Hozie (director/screenplay); Julia Fox, Nikki Belfiglio, Austin Brown, Peter Vack"
Music,Vertical Entertainment,"Sia (director/screenplay); Dallas Clayton (screenplay); Kate Hudson, Leslie Odom Jr., Maddie Ziegler"
Judas and the Black Messiah,Warner Bros. Pictures / Participant / Bron Creative / HBO Max,"Shaka King (director/screenplay); Will Berson (screenplay); Daniel Kaluuya, Lakeith Stanfield, Jesse Plemons, Dominique Fishback, Ashton Sanders, Darrell Britt-Gibson, Lil Rel Howery, Algee Smith, Dominique Thorne, Martin Sheen"
The Mauritanian,STXfilms / Topic Studios / BBC Film,"Kevin Macdonald (director); M.B. Traven, Rory Haines, Sohrab Noshirvani (screenplay); Jodie Foster, Tahar Rahim, Shailene Woodley, Zachary Levi, Benedict Cumberbatch"
Breaking News in Yuba County,American International Pictures / AGC Studios / Nine Stories Productions,"Tate Taylor (director); Amanda Idoko (screenplay); Allison Janney, Mila Kunis, Awkwafina, Regina Hall, Wanda Sykes, Juliette Lewis, Samira Wiley, Matthew Modine, Ellen Barkin"
Barb and Star Go to Vista Del Mar,Lionsgate / Gloria Sanchez Productions,"Josh Greenbaum (director); Annie Mumolo, Kristen Wiig (screenplay); Kristen Wiig, Annie Mumolo, Jamie Dornan, Damon Wayans Jr."
Minari,A24 / Plan B Entertainment,"Lee Isaac Chung (director/screenplay); Steven Yeun, Han Ye-ri, Alan Kim, Noel Kate Cho, Scott Haze, Youn Yuh-jung, Will Patton"
To All the Boys: Always and Forever,Netflix,"Michael Fimognari (director); Katie Lovejoy (screenplay); Lana Condor, Noah Centineo, Jordan Fisher, Holland Taylor, Sarayu Blue, John Corbett"
The World to Come,Bleecker Street / Ingenious Media,"Mona Fastvold (director); Ron Hansen, Jim Shepard (screenplay); Katherine Waterston, Vanessa Kirby, Christopher Abbott, Casey Affleck"
French Exit,Sony Pictures Classics,"Azazel Jacobs (director); Patrick deWitt (screenplay); Michelle Pfeiffer, Lucas Hedges, Tracy Letts, Danielle Macdonald, Imogen Poots"
Land,Focus Features / Big Beach,"Robin Wright (director); Jesse Chatham, Erin Dignam (screenplay); Robin Wright, Demián Bichir, Kim Dickens"
Willy's Wonderland,Screen Media Films,"Kevin Lewis (director); G.O. Parsons (screenplay); Nicolas Cage, Emily Tosta, Ric Reitz, Beth Grant"
The Map of Tiny Perfect Things,Amazon Studios,"Ian Samuels (director); Lev Grossman (screenplay); Kathryn Newton, Kyle Allen, Al Madrigal"
Fear of Rain,Lionsgate,"Castille Landon (director/screenplay); Katherine Heigl, Madison Iseman, Israel Broussard, Harry Connick Jr."
I Care a Lot,Netflix / Amazon Studios / STXfilms / Black Bear Pictures,"J Blakeson (director/screenplay); Rosamund Pike, Peter Dinklage, Eiza González, Chris Messina, Dianne Wiest, Isiah Whitlock Jr."
Flora & Ulysses,Disney+ / Walt Disney Pictures,"Lena Khan (director); Brad Copeland (screenplay); Matilda Lawler, Alyson Hannigan, Ben Schwartz, Anna Deavere Smith, Danny Pudi, Benjamin Evan Ainsworth, Janeane Garofalo, Kate Micucci"
Silk Road,Lionsgate,"Tiller Russell (director/screenplay); Jason Clarke, Nick Robinson, Katie Aselton, Jimmi Simpson, Daniel David Stewart, Darrell Britt-Gibson, Lexi Rabe, Will Ropp, Paul Walter Hauser, Alexandra Shipp"
Tom & Jerry,Warner Bros. Pictures / Warner Animation Group / HBO Max,"Tim Story (director); Kevin Costello (screenplay); Chloë Grace Moretz, Michael Peña, Colin Jost, Rob Delaney, Pallavi Sharda, Jordan Bolger, Patsy Ferran, Nicky Jam, Bobby Cannavale, Lil Rel Howery, Ken Jeong"
The United States vs. Billie Holiday,Hulu / Roth/Kirschenbaum Films,"Lee Daniels (director); Suzan-Lori Parks (screenplay); Andra Day, Trevante Rhodes, Garrett Hedlund, Leslie Jordan, Miss Lawrence, Adriane Lenox, Natasha Lyonne, Rob Morgan, Da'Vine Joy Randolph, Evan Ross, Tyler James Williams"
Cherry,Apple TV+ / AGBO,"Anthony and Joe Russo (directors); Angela Russo-Otstot, Jessica Goldberg (screenplay); Tom Holland, Ciara Bravo, Jack Reynor, Michael Rispoli, Jeff Wahlberg"
Crisis,Quiver Distribution,"Nicholas Jarecki (director/screenplay); Gary Oldman, Armie Hammer, Evangeline Lilly, Greg Kinnear, Michelle Rodriguez, Luke Evans, Lily-Rose Depp, Scott Mescudi, Martin Donovan"
Billie Eilish: The World's a Little Blurry,Neon / Apple TV+,"R. J. Cutler (director/screenplay); Billie Eilish, Finneas O'Connell, Maggie Baird, Patrick O'Connell"
The Vigil,IFC Midnight / Blumhouse Productions,"Keith Thomas (director/screenplay); Dave Davis, Menashe Lustig, Malky Goldman, Fred Melamed, Lynn Cohen"
Moxie,Netflix,"Amy Poehler (director); Tamara Chestna, Dylan Meyer (screenplay); Hadley Robinson, Lauren Tsai, Patrick Schwarzenegger, Hico Hiraga, Sydney Park, Josephine Langford, Clark Gregg, Ike Barinholtz, Amy Poehler, Marcia Gay Harden"
Coming 2 America,Amazon Studios / Paramount Pictures,"Craig Brewer (director); Kenya Barris, Barry W. Blaustein, David Sheffield (screenplay); Eddie Murphy, Arsenio Hall, Jermaine Fowler, Leslie Jones, Tracy Morgan, KiKi Layne, Shari Headley, Teyana Taylor, Wesley Snipes, James Earl Jones"
The SpongeBob Movie: Sponge on the Run,Paramount+ / Paramount Animation / Nickelodeon Movies / MRC,"Tim Hill (director/screenplay); Tom Kenny, Awkwafina, Matt Berry, Snoop Dogg, Bill Fagerbakke, Clancy Brown, Tiffany Haddish, Carolyn Lawrence, Mr. Lawrence, Keanu Reeves, Danny Trejo, Reggie Watts"
Raya and the Last Dragon,Walt Disney Pictures / Walt Disney Animation Studios / Disney+,"Don Hall, Carlos López Estrada (directors); Qui Nguyen, Adele Lim (screenplay); Kelly Marie Tran, Awkwafina, Izaac Wang, Gemma Chan, Daniel Dae Kim, Benedict Wong, Sandra Oh, Thalia Tran, Lucille Soong, Alan Tudyk"
Chaos Walking,Lionsgate / Bron Creative / 3 Arts Entertainment,"Doug Liman (director); Patrick Ness, Christopher Ford (screenplay); Daisy Ridley, Tom Holland, Mads Mikkelsen, Demián Bichir, Cynthia Erivo, Nick Jonas, Ray McKinnon, Kurt Sutter, David Oyelowo"
Boss Level,Hulu / Ingenious Media,"Joe Carnahan (director/screenplay); Chris Borey, Eddie Borey (screenplay); Frank Grillo, Mel Gibson, Naomi Watts, Annabelle Wallis, Ken Jeong, Will Sasso, Selina Lo, Meadow Williams, Michelle Yeoh"
Boogie,Focus Features,"Eddie Huang (director/screenplay); Taylor Takahashi, Taylour Paige, Jorge Lendeborg Jr., Bashar ""Pop Smoke"" Jackson"
Yes Day,Netflix,"Miguel Arteta (director); Justin Malen (screenplay); Jennifer Garner, Édgar Ramírez, Jenna Ortega"
Long Weekend,Stage 6 Films,"Steve Basilone (director/screenplay); Finn Wittrock, Zoë Chao, Casey Wilson, Jim Rash, Damon Wayans Jr."
Cosmic Sin,Saban Films,"Edward Drake (director/screenplay); Corey Large (screenplay); Bruce Willis, Frank Grillo, Brandon Thomas Lee, C.J. Perry"
Trust,Vertical Entertainment,"Brian DeCubellis (director/screenplay); Kristen Lazarian, K.S. Bruce (screenplay); Victoria Justice, Matthew Daddario, Katherine McNamara, Lucien Laviscount, Ronny Chieng, Lindsey Broad"
Zack Snyder's Justice League,HBO Max / Warner Bros. Pictures / DC Films / Atlas Entertainment / The Stone Quarry,"Zack Snyder (director); Chris Terrio (screenplay); Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot, Ray Fisher, Jason Momoa, Ezra Miller, Willem Dafoe, Jesse Eisenberg, Jeremy Irons, Diane Lane, Connie Nielsen, J. K. Simmons, Ciarán Hinds"
The Courier,Lionsgate / Roadside Attractions / FilmNation Entertainment,"Dominic Cooke (director); Tom O'Connor (screenplay); Benedict Cumberbatch, Merab Ninidze, Rachel Brosnahan, Jessie Buckley, Angus Wright"
City of Lies,Saban Films / Miramax,"Brad Furman (director); Christian Contreras (screenplay); Johnny Depp, Forest Whitaker"
Happily,Saban Films,"BenDavid Grabinski (director/screenplay); Joel McHale, Kerry Bishé, Stephen Root"
Nobody,Universal Pictures / Perfect World Pictures / 87North Productions,"Ilya Naishuller (director); Derek Kolstad (screenplay); Bob Odenkirk, Connie Nielsen, Aleksei Serebryakov, RZA, Michael Ironside, Colin Salmon, Christopher Lloyd"
Bad Trip,Netflix / Orion Pictures,"Kitao Sakurai (director/screenplay); Dan Curry, Eric André (screenplay); Eric André, Lil Rel Howery, Tiffany Haddish"
The Seventh Day,Vertical Entertainment / Voltage Pictures,"Justin P. Lange (director/screenplay); Guy Pearce, Vadhir Derbez, Stephen Lang, Keith David, Robin Bartlett"
Senior Moment,Screen Media Films,"Giorgio Serafini (director); Kurt Brungardt, Christopher Momenee (screenplay); William Shatner, Jean Smart, Christopher Lloyd"
Godzilla vs. Kong,Warner Bros. Pictures / Legendary Entertainment / HBO Max,"Adam Wingard (director); Eric Pearson, Max Borenstein (screenplay); Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall, Brian Tyree Henry, Shun Oguri, Eiza González, Julian Dennison, Lance Reddick, Kyle Chandler, Demián Bichir"
Concrete Cowboy,Netflix,"Ricky Staub (director/screenplay); Dan Walser (screenplay); Idris Elba, Caleb McLaughlin, Jharrel Jerome, Byron Bowers, Lorraine Toussaint, Clifford ""Method Man"" Smith"
The Unholy,Screen Gems / Ghost House Pictures,"Evan Spiliotopoulos (director/screenplay); Jeffrey Dean Morgan, Katie Aselton, William Sadler, Cricket Brown, Diogo Morgado, Cary Elwes"
Every Breath You Take,Vertical Entertainment,"Vaughn Stein (director); David Murray (screenplay); Casey Affleck, Sam Claflin, Veronica Ferres, India Eisley, Michelle Monaghan"
Shiva Baby,Utopia,"Emma Seligman (director/screenplay); Rachel Sennott, Molly Gordon, Polly Draper, Danny Deferrari, Fred Melamed, Dianna Agron"
The Girl Who Believes in Miracles,Atlas Distribution Company,"Richard Correll (director/screenplay); G.M. Mercier (screenplay); Mira Sorvino, Austyn Johnson, Kevin Sorbo, Peter Coyote"
The Believer,Freestyle Releasing,"Shan Serafin (director/screenplay); Aidan Bristow, Sophie Kargman, Susan Wilder, Lindsay Ginter, Robbie Goldstein, Billy Zane"
Dawn of the Beast,Uncork'd Entertainment,"Bruce Wemple (director); Anna Shields (screenplay); Francesca Anderson, Adrián Burke, Chris Cimperman, Ariella Mastroianni, Roger Mayer"
Voyagers,Lionsgate / AGC Studios / Thunder Road Films / Ingenious Media,"Neil Burger (director/screenplay); Tye Sheridan, Lily-Rose Depp, Fionn Whitehead, Colin Farrell, Chanté Adams, Isaac Hempstead Wright, Viveik Kalra, Archie Madekwe, Quintessa Swindell"
Thunder Force,Netflix,"Ben Falcone (director/screenplay); Melissa McCarthy, Octavia Spencer, Bobby Cannavale, Pom Klementieff, Taylor Mosby, Melissa Leo, Jason Bateman"
Arlo the Alligator Boy,"Netflix / Netflix Animation / Titmouse, Inc.","Ryan Crego (director/screenplay); Clay Senechal (screenplay); Michael J. Woodard, Mary Lambert, Haley Tju, Jonathan Van Ness, Brett Gelman, Tony Hale, Annie Potts, Flea, Jennifer Coolidge, Vincent Rodriguez III"
Monday,IFC Films,"Argyris Papadimitropoulos (director/screenplay); Rob Hayes (screenplay); Sebastian Stan, Denise Gough, Yorgos Pirpassopoulos, Dominique Tipper"
In the Earth,Neon,"Ben Wheatley (director/screenplay); Joel Fry, Reece Shearsmith, Hayley Squires, Ellora Torchia, John Hollingworth, Mark Monero"
Stowaway,Netflix / XYZ Films,"Joe Penna (director/screenplay); Ryan Morrison (screenplay); Anna Kendrick, Daniel Dae Kim, Shamier Anderson, Toni Collette"
Mortal Kombat,Warner Bros. Pictures / New Line Cinema / Atomic Monster Productions / HBO Max,"Simon McQuoid (director); Greg Russo, David Callaham (screenplay); Lewis Tan, Jessica McNamee, Josh Lawson, Tadanobu Asano, Mehcad Brooks, Ludi Lin, Chin Han, Joe Taslim, Hiroyuki Sanada"
The Mitchells vs. the Machines,Netflix / Columbia Pictures / Sony Pictures Animation,"Mike Rianda (director/screenplay); Jeff Rowe (co-director/screenplay); Abbi Jacobson, Danny McBride, Maya Rudolph, Mike Rianda, Olivia Colman, Eric Andre, Fred Armisen, Beck Bennett, John Legend, Chrissy Teigen, Blake Griffin, Conan O'Brien"
Vanquish,Lionsgate,"George Gallo (director); Samuel Bartlett (screenplay); Ruby Rose, Morgan Freeman"
Together Together,Bleecker Street,"Nikole Beckwith (director/screenplay); Ed Helms, Patti Harrison, Tig Notaro"
We Broke Up,Vertical Entertainment,"Jeff Rosenberg (director/screenplay); Laura Jacqmin (screenplay); William Jackson Harper, Aya Cash"
The Deep Ones,123 Go Films,"Chad Ferrin (director/screenplay); Gina La Piana, Robert Miano, Johann Urb, Silvia Spross, Jackie Debatin, Nicolas Coster"
Things Heard & Seen,Netflix / Likely Story,"Shari Springer Berman and Robert Pulcini (director/screenplay); Amanda Seyfried, James Norton, Natalia Dyer, F. Murray Abraham"
Without Remorse,Amazon Studios / Paramount Pictures / Skydance Media,"Stefano Sollima (director); Taylor Sheridan, Will Staples (screenplay); Michael B. Jordan, Jamie Bell, Jodie Turner-Smith, Lauren London, Brett Gelman, Jacob Scipio, Jack Kesy, Colman Domingo, Guy Pearce"
The Virtuoso,Lionsgate,"Nick Stagliano (director/screenplay); James C. Wolf (screenplay); Anson Mount, Abbie Cornish, Eddie Marsan, David Morse, Anthony Hopkins"
Four Good Days,Vertical Entertainment,"Rodrigo García (director/screenplay); Eli Saslow (screenplay); Glenn Close, Mila Kunis, Stephen Root"
Separation,Open Road Films / Briarcliff Entertainment,"William Brent Bell (director); Nick Amadeus, Josh Braun (screenplay); Rupert Friend, Mamie Gummer, Violet McGraw, Brian Cox"
The Resort,Vertical Entertainment,"Taylor Chien (director/screenplay); Brock O'Hurn, Avery Pascual, Michael Vlamis, Michelle Randolph, Bianca Haase"
Wrath of Man,Metro-Goldwyn-Mayer / Miramax,"Guy Ritchie (director/screenplay); Ivan Atkinson, Marn Davies (screenplay); Jason Statham, Holt McCallany, Jeffrey Donovan, Josh Hartnett, Laz Alonso, Raúl Castillo, DeObia Oparei, Eddie Marsan, Scott Eastwood, Andy García"
Monster,Netflix / Bron Creative,"Anthony Mandler (director); Radha Blank, Cole Wiley, Janece Shaffer (screenplay); Kelvin Harrison Jr., Jennifer Ehle, Tim Blake Nelson, Nasir ""Nas"" Jones, Rakim ""A$AP Rocky"" Mayers, Paul Ben-Victor, John David Washington, Jennifer Hudson, Jeffrey Wright"
The Paper Tigers,Well Go USA Entertainment,"Tran Quoc Bao (director/screenplay); Alain Uy, Ron Yuan, Mykel Shannon Jenkins"
Mainstream,IFC Films / American Zoetrope,"Gia Coppola (director/screenplay); Tom Stuart (screenplay); Andrew Garfield, Maya Hawke, Nat Wolff, Johnny Knoxville, Jason Schwartzman"
The Water Man,RLJE Films,"David Oyelowo (director); Emma Needell (screenplay); David Oyelowo, Rosario Dawson, Lonnie Chavis, Amiah Miller, Alfred Molina, Maria Bello"
Here Today,Stage 6 Films,"Billy Crystal (director/screenplay); Alan Zweibel (screenplay); Billy Crystal, Tiffany Haddish, Penn Badgley, Laura Benanti, Louisa Krause"
Above Suspicion,Lionsgate,"Phillip Noyce (director); Chris Gerolmo (screenplay); Jack Huston, Emilia Clarke, Thora Birch, Johnny Knoxville"
Reboot Camp,Freestyle Releasing,"Ivo Raza (director/screenplay); David Koechner, Ed Begley Jr., Chaz Bono, Ja Rule, Shar Jackson, Eric Roberts"
Benny Loves You,Epic Pictures Group,"Karl Holt (director/screenplay); Karl Holt, Claire Cartwright, David Wayman, George Collie, James Parsons, Lydia Hourihan"
Oxygen,Netflix,"Alexandre Aja (director); Christine LeBlanc (screenplay); Mélanie Laurent, Mathieu Amalric, Malik Zidi"
Army of the Dead,Netflix / The Stone Quarry,"Zack Snyder (director/screenplay); Shay Hatten, Joby Harold (screenplay); Dave Bautista, Ella Purnell, Omari Hardwick, Ana de la Reguera, Theo Rossi, Matthias Schweighöfer, Nora Arnezeder, Hiroyuki Sanada, Tig Notaro, Raúl Castillo, Huma Qureshi, Garret Dillahunt"
Those Who Wish Me Dead,Warner Bros. Pictures / New Line Cinema / Bron Creative / HBO Max,"Taylor Sheridan (director/screenplay); Michael Koryta, Charles Leavitt (screenplay); Angelina Jolie, Nicholas Hoult, Finn Little, Aidan Gillen, Jake Weber, Medina Senghore, Jon Bernthal"
The Woman in the Window,Netflix / 20th Century Studios / Fox 2000 Pictures,"Joe Wright (director); Tracy Letts (screenplay); Amy Adams, Gary Oldman, Anthony Mackie, Fred Hechinger, Wyatt Russell, Brian Tyree Henry, Jennifer Jason Leigh, Julianne Moore"
Spiral,Lionsgate / Twisted Pictures,"Darren Lynn Bousman (director); Josh Stolberg, Pete Goldfinger (screenplay); Chris Rock, Max Minghella, Marisol Nichols, Samuel L. Jackson"
Georgetown,Vertical Entertainment,"Christoph Waltz (director); David Auburn (screenplay); Christoph Waltz, Vanessa Redgrave, Annette Bening, Corey Hawkins"
Finding You,Roadside Attractions,"Brian Baugh (director/screenplay); Rose Reid, Jedidiah Goodacre, Katherine McNamara, Patrick Bergin, Saoirse-Monica Jackson, Judith Hoag, Tom Everett Scott, Vanessa Redgrave"
The Killing of Two Lovers,Neon,"Robert Machoian (director/screenplay); Clayne Crawford, Sepideh Moafi, Chris Coy, Avery Pizzuto, Arri Graham, Ezra Graham"
616 Wilford Lane,Indican Pictures,"Mark S. Allen, Dante Yore (director/screenplay); Howard Burd (screenplay); John Littlefield, Eric Roberts, Alyson Gorske, Stevonte Hart, Eliza Roberts"
Dream Horse,Bleecker Street / Topic Studios / Film4 / Ingenious Media,"Euros Lyn (director); Neil McKay (screenplay); Toni Collette, Damian Lewis, Owen Teale, Joanna Page, Karl Johnson, Steffan Rhodri, Anthony O'Donnell, Nicholas Farrell, Siân Phillips"
Blast Beat,Stage 6 Films / Vertical Entertainment,"Esteban Arango (director/screenplay); Erick Castrillon (screenplay); Moisés Arias, Mateo Arias, Daniel Dae Kim, Kali Uchis, Ashley Jackson, Diane Guerrero, Wilmer Valderrama"
A Quiet Place Part II,Paramount Pictures / Platinum Dunes / Sunday Night Productions,"John Krasinski (director/screenplay); Emily Blunt, Cillian Murphy, Millicent Simmonds, Noah Jupe, Djimon Hounsou, John Krasinski"
Cruella,Walt Disney Pictures / Disney+,"Craig Gillespie (director); Dana Fox, Tony McNamara (screenplay); Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste, Mark Strong"
Plan B,Hulu,"Natalie Morales (director); Prathi Srinivasan, Joshua Levy (screenplay); Kuhoo Verma, Victoria Moroles"
Changing the Game,Hulu,"Michael Barnett (director/screenplay); Amanda C. Griffin, Michael Mahaffie (screenplay); Mack Beggs, Sarah Rose Huckman, Terry Miller, Ngozi Nnaji, Andraya Yearwood"
Spirit Untamed,Universal Pictures / DreamWorks Animation,"Elaine Bogan, Ennio Torresan (directors); Aury Wallington (screenplay); Isabela Merced, Marsai Martin, Mckenna Grace, Julianne Moore, Jake Gyllenhaal, Walton Goggins, Eiza González"
The Conjuring: The Devil Made Me Do It,Warner Bros. Pictures / New Line Cinema / HBO Max,"Michael Chaves (director); David Leslie Johnson-McGoldrick (screenplay); Patrick Wilson, Vera Farmiga, Ruairi O'Connor, Sarah Catherine Hook, Julian Hilliard"
Gully,Vertical Entertainment,"Nabil Elderkin (director); Marcus J. Guillory (screenplay); Jacob Latimore, Charlie Plummer, Jonathan Majors, Kelvin Harrison Jr., Amber Heard, Terrence Howard"
Flashback,Lionsgate,"Christopher MacBride (director/screenplay); Dylan O'Brien, Maika Monroe, Hannah Gross, Emory Cohen, Keir Gilchrist"
Under the Stadium Lights,Film Bridge International / Saban Films,"Todd Randall (director); John Collins, Hamid Torabpour (screenplay); Milo Gibson, Laurence Fishburne, Glenn Morshower, Noel Gugliemi"
Grace and Grit,Quiver Distribution,"Sebastian Siegel (director/screenplay); Mena Suvari, Stuart Townsend, Frances Fisher, Rebekah Graf, Mariel Hemingway, Nick Stahl"
Awake,Netflix / Entertainment One,"Mark Raso (director/screenplay); Joseph Raso (screenplay); Gina Rodriguez, Jennifer Jason Leigh, Barry Pepper, Finn Jones, Gil Bellows"
Infinite,Paramount+ / Paramount Pictures,"Antoine Fuqua (director); Ian Shorr (screenplay); Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Jason Mantzoukas, Rupert Friend, Toby Jones, Dylan O'Brien"
Peter Rabbit 2: The Runaway,Columbia Pictures / MRC / Animal Logic,"Will Gluck (director/screenplay); Patrick Burleigh (screenplay); James Corden, Rose Byrne, Domhnall Gleeson, Margot Robbie, Elizabeth Debicki, Lennie James, David Oyelowo"
In the Heights,Warner Bros. Pictures / Likely Story / Endeavor Content / HBO Max,"Jon M. Chu (director); Quiara Alegría Hudes (screenplay); Anthony Ramos, Corey Hawkins, Leslie Grace, Melissa Barrera, Olga Merediz, Daphne Rubin-Vega, Gregory Diaz IV, Stephanie Beatriz, Dascha Polanco, Jimmy Smits, Lin-Manuel Miranda"
Wish Dragon,Netflix / Columbia Pictures / Sony Pictures Animation / Tencent Pictures,"Chris Appelhans (director/screenplay); Jimmy Wong, John Cho, Constance Wu, Natasha Liu Bordizzo, Jimmy O. Yang, Aaron Yoo, Will Yun Lee, Bobby Lee, Nico Santos, Ronny Chieng"
The Misfits,The Avenue Entertainment,"Renny Harlin (director); Robert Henny, Kurt Wimmer (screenplay); Pierce Brosnan, Rami Jaber, Hermione Corfield, Jamie Chung, Mike d Angelo, Tim Roth, Nick Cannon"
12 Mighty Orphans,Sony Pictures Classics,"Ty Roberts (director/screenplay); Lane Garrison, Kevin Meyer (screenplay); Luke Wilson, Vinessa Shaw, Wayne Knight, Jake Austin Walker, Jacob Lofland, Levi Dylan, Robert Duvall, Martin Sheen"
The House Next Door: Meet the Blacks 2,Lionsgate,"Deon Taylor (director/screenplay); Corey Harrell (screenplay); Mike Epps, Katt Williams, Bresha Webb, Lil Duval, Zulay Henao, Tyrin Turner, Michael Blackson, Andrew Bachelor, Gary Owen, Danny Trejo"
Queen Bees,Gravitas Ventures,"Michael Lembeck (director); Donald Martin (screenplay); Ellen Burstyn, James Caan, Ann-Margret, Jane Curtin, Christopher Lloyd, Loretta Devine"
DOMINO: Battle of the Bones,Dow Jazz Films,"Baron Davis, Carl Reid, Steven V. Vasquez Jr. (directors); Baron Davis, Carl Reid, Pamela Azmi-Andrew (screenplay); David Arquette, Snoop Dogg, Tom Lister Jr., Carlito Olivero"
Hitman's Wife's Bodyguard,Lionsgate / Millennium Media,"Patrick Hughes (director); Tom O'Connor, Brandon Murphy, Phillip Murphy (screenplay); Ryan Reynolds, Samuel L. Jackson, Salma Hayek, Frank Grillo, Richard E. Grant, Antonio Banderas, Morgan Freeman"
Luca,Disney+ / Walt Disney Pictures / Pixar Animation Studios,"Enrico Casarosa (director); Mike Jones, Jesse Andrews (screenplay); Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Saverio Raimondo, Maya Rudolph, Marco Baricelli, Jim Gaffigan, Peter Sohn, Lorenzo Crisci, Marina Massironi, Sandy Martin"
Fatherhood,Netflix / Columbia Pictures / Bron Creative,"Paul Weitz (director/screenplay); Dana Stevens (screenplay); Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise, Anthony Carrigan, Melody Hurd, Paul Reiser"
