Film,Production,Cast
The Loft,Open Road Films,"Erik Van Looy (director); Bart De Pauw, Wesley Strick (screenplay); Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Isabel Lucas, Rachael Taylor"
Project Almanac,Paramount Pictures / MTV Films / Insurge Pictures / Platinum Dunes,"Dean Israelite (director); Jason Harry Pagan, Andrew Deutschman (screenplay); Jonny Weston, Sofia Black-D'Elia, Sam Lerner, Allen Evangelista, Virginia Gardner, Amy Landecker"
Wild Card,Lionsgate,"Simon West (director); William Goldman (screenplay); Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci"
3 Nights in the Desert,Monterey Media,"Gabriel Cowan (director); Adam Chanzit (screenplay); Amber Tamblyn, Wes Bentley, Vincent Piazza."
Enter the Dangerous Mind,Well Go USA Entertainment,"Youssef Delara (director); Victor Teran (director/screenplay); Jake Hoffman, Nikki Reed, Thomas Dekker, Jason Priestley, Gina Rodriguez, Ana Claudia Talancón, Noel Gugliemi, John Earl Jelks, Scott Bakula"
Jupiter Ascending,Warner Bros. Pictures / Village Roadshow Pictures / RatPac Entertainment,"The Wachowskis (director/screenplay); Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth"
"Love, Rosie",Lionsgate,"Christian Ditter (director); Juliette Towhidi (screenplay); Lily Collins, Sam Claflin, Christian Cooke, Tamsin Egerton, Suki Waterhouse, Jamie Beamish, Jaime Winstone"
Seventh Son,Universal Pictures / Legendary Pictures,"Sergei Bodrov (director); Charles Leavitt, Steven Knight (screenplay); Jeff Bridges, Ben Barnes, Alicia Vikander, Kit Harington, Olivia Williams, Antje Traue, Djimon Hounsou, Julianne Moore"
The SpongeBob Movie: Sponge Out of Water,Paramount Animation / Nickelodeon Movies,"Paul Tibbitt (director); Jonathan Aibel, Glenn Berger (screenplay); Antonio Banderas, Tom Kenny, Clancy Brown, Rodger Bumpass, Bill Fagerbakke, Carolyn Lawrence, Mr. Lawrence, Matt Berry"
The Voices,Lionsgate,"Marjane Satrapi (director); Michael R. Perry (screenplay); Ryan Reynolds, Gemma Arterton, Anna Kendrick, Jacki Weaver"
Accidental Love,Millennium Entertainment,"David O. Russell (director); David O. Russell, Kristin Gore, Dave Jeser, and Matt Silverstein (screenplay); Jessica Biel, Jake Gyllenhaal, Catherine Keener, James Marsden, Tracy Morgan, Paul Reubens, Kurt Fuller, James Brolin"
Da Sweet Blood of Jesus,The Asylum,"Spike Lee (director/screenplay); Bill Gunn (screenplay); Zaraah Abrahams, Stephen Tyrone Williams, Rami Malek, Elvis Nolasco"
Fifty Shades of Grey,Universal Pictures,"Sam Taylor-Johnson (director); Kelly Marcel (screenplay); Dakota Johnson, Jamie Dornan, Jennifer Ehle, Marcia Gay Harden"
Kingsman: The Secret Service,20th Century Fox,"Matthew Vaughn (director/screenplay); Jane Goldman (screenplay); Colin Firth, Samuel L. Jackson, Mark Strong, Taron Egerton, Michael Caine"
The Last Five Years,The Weinstein Company,"Richard LaGravenese (director/screenplay); Anna Kendrick, Jeremy Jordan"
The DUFF,Lionsgate / CBS Films,"Ari Sandel (director); Josh A. Cagan (screenplay); Mae Whitman, Robbie Amell, Bella Thorne, Bianca Santos, Skyler Samuels, Romany Malco, Ken Jeong, Allison Janney"
Hot Tub Time Machine 2,Paramount Pictures,"Steve Pink (director); Josh Heald (screenplay); Rob Corddry, Craig Robinson, Clark Duke, Adam Scott, Chevy Chase"
"McFarland, USA",Walt Disney Pictures,"Niki Caro (director); Christopher Cleveland, Bettina Gilois, Grant Thompson (screenplay); Kevin Costner, Maria Bello, Morgan Saylor"
Everly,Dimension Films,Joe Lynch (director); Yale Hannon (screenplay); Salma Hayek
Focus,Warner Bros. Pictures / RatPac Entertainment,"Glenn Ficarra, John Requa (director/screenplay); Will Smith, Margot Robbie"
The Lazarus Effect,Relativity Media,"David Gelb (director); Luke Dawson, Jeremy Slater (screenplay); Mark Duplass, Olivia Wilde, Donald Glover, Evan Peters, Sarah Bolger."
Maps to the Stars,Focus Features,"David Cronenberg (director); Bruce Wagner (screenplay); Julianne Moore, Mia Wasikowska, Olivia Williams, Evan Bird, Sarah Gadon, John Cusack, Robert Pattinson"
Out of the Dark,Vertical Entertainment,"Lluís Quílez (director); Alex Pastor, David Pastor, Javier Gullón (screenplay); Julia Stiles, Scott Speedman, Stephen Rea"
Bad Asses on the Bayou,Samuel Goldwyn Films,"Craig Moss (director/screenplay); Danny Trejo, Danny Glover, John Amos, Loni Love, Sammi Rotibi, Jimmy Bennett"
Chappie,Columbia Pictures / Media Rights Capital,"Neill Blomkamp (director/screenplay); Terri Tatchell (screenplay); Sharlto Copley, Dev Patel, Hugh Jackman, Ninja, Yolandi Visser, Jose Pablo Cantillo, Sigourney Weaver"
Road Hard,FilmBuff,"Adam Carolla (director/screenplay); Kevin Hench (screenplay); Adam Carolla, Larry Miller, David Alan Grier, David Koechner"
The Second Best Exotic Marigold Hotel,Fox Searchlight Pictures,"John Madden (director); Ol Parker (screenplay); Judi Dench, Maggie Smith, Dev Patel, Bill Nighy, Celia Imrie, Penelope Wilton, Ronald Pickup, David Strathairn, Richard Gere."
Unfinished Business,20th Century Fox / Regency Enterprises,"Ken Scott (director); Steven Conrad (screenplay); Vince Vaughn, Tom Wilkinson, Dave Franco, Sienna Miller, Nick Frost, James Marsden"
Faults,Screen Media Films,"Riley Stearns (director/screenplay); Leland Orser, Mary Elizabeth Winstead, Chris Ellis, Jon Gries, Lance Reddick, Beth Grant"
Cinderella,Walt Disney Pictures,"Kenneth Branagh (director); Chris Weitz (screenplay); Cate Blanchett, Lily James, Richard Madden, Stellan Skarsgård, Holliday Grainger, Derek Jacobi, Helena Bonham Carter"
The Cobbler,Image Entertainment,"Tom McCarthy (director); Paul Sado (screenplay); Adam Sandler, Method Man, Ellen Barkin, Melonie Diaz, Dan Stevens, Steve Buscemi"
Cymbeline,Lionsgate,"Michael Almereyda (director/screenplay); Ethan Hawke, Ed Harris, Milla Jovovich, John Leguizamo, Penn Badgley, Dakota Johnson, Anton Yelchin, Peter Gerety, Kevin Corrigan, Vondie Curtis-Hall, James Ransone, Bill Pullman, Delroy Lindo"
Home Sweet Hell,Vertical Entertainment,"Anthony Burns (director); Carlo Allen, Ted Elrick, Tom Lavagnino (screenplay); Katherine Heigl, Patrick Wilson, Jordana Brewster, Kevin McKidd, A.J. Buckley, Chi McBride, Jim Belushi"
It Follows,RADiUS-TWC,"David Robert Mitchell (director/screenplay); Maika Monroe, Keir Gilchrist, Daniel Zovatto, Jake Weary, Olivia Luccardi, Lili Sepe"
Muck,Anchor Bay Entertainment,"Steve Wolsh (director/screenplay); Lachlan Buchanan, Puja Mohindra, Bryce Draper, Stephanie Danielson, Laura Jacobs, Grant Alan Ouzts, Lauren Francesca"
Run All Night,Warner Bros. Pictures / RatPac Entertainment / Vertigo Entertainment,"Jaume Collet-Serra (director); Brad Ingelsby (screenplay); Liam Neeson, Joel Kinnaman, Vincent D'Onofrio, Nick Nolte, Bruce McGill, Genesis Rodriguez, Common, Ed Harris"
Danny Collins,Bleecker Films,"Dan Fogelman (director/screenplay); Al Pacino, Annette Bening, Jennifer Garner, Bobby Cannavale, Christopher Plummer"
The Divergent Series: Insurgent,Summit Entertainment / Red Wagon Entertainment,"Robert Schwentke (director); Brian Duffield, Akiva Goldsman, Mark Bomback (screenplay); Shailene Woodley, Theo James, Octavia Spencer, Jai Courtney, Ray Stevenson, Zoë Kravitz, Miles Teller, Ansel Elgort, Maggie Q, Naomi Watts, Kate Winslet"
Do You Believe?,Freestyle Releasing,"Jon Gunn (director); Chuck Konzelman, Cary Solomon (screenplay); Mira Sorvino, Sean Astin, Alexa PenaVega, Delroy Lindo, Ted McGinley, Andrea Logan White, Madison Pettis, Brian Bosworth, Liam Matthews, Makenzie Moss, Cybill Shepherd, Lee Majors"
The Gunman,Open Road Films,"Pierre Morel (director); Don Macpherson, Pete Travis, Sean Penn (screenplay); Sean Penn, Idris Elba, Ray Winstone, Mark Rylance, Jasmine Trinca, Peter Franzén, Javier Bardem"
Tracers,Saban Films,"Daniel Benmayor (director); Matt Johnson (screenplay); Taylor Lautner, Marie Avgeropoulos, Adam Rayner, Rafi Gavron"
The Walking Deceased,ARC Entertainment,"Scott Dow (director); Tim Ogletree (screenplay); Tim Ogletree, Joey Oglesby, Dave Sheridan, Troy Ogletree, Sophia Taylor Ali, Danielle Garcia, Andrew Pozza, Mason Dakota Galyon"
Get Hard,Warner Bros. Pictures / RatPac Entertainment / Gary Sanchez Productions,"Etan Cohen (director/screenplay); Jay Martel, Ian Roberts (screenplay); Will Ferrell, Kevin Hart, Tip 'T.I.' Harris, Alison Brie, Craig T. Nelson"
Home,20th Century Fox / DreamWorks Animation,"Tim Johnson (director); Tom J. Astle, Matt Ember (screenplay); Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez, Matt Jones"
Serena,Magnolia Pictures,"Susanne Bier (director); Christopher Kyle (screenplay); Bradley Cooper, Jennifer Lawrence, Rhys Ifans, Toby Jones, David Dencik, Sean Harris, Ana Ularu"
While We're Young,A24 Films,"Noah Baumbach (director/screenplay); Ben Stiller, Naomi Watts, Adam Driver, Amanda Seyfried, Charles Grodin, Adam Horovitz"
Furious 7,Universal Pictures / Original Film / Media Rights Capital,"James Wan (director); Chris Morgan (screenplay); Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson, Chris “Ludacris” Bridges, Jordana Brewster, Djimon Hounsou, Kurt Russell, Jason Statham"
Woman in Gold,The Weinstein Company / BBC Films,"Simon Curtis (director); Alexi Kaye Campbell (screenplay); Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes, Tatiana Maslany, Max Irons, Charles Dance, Elizabeth McGovern, Jonathan Pryce"
Ex Machina,A24,"Alex Garland (director/screenplay); Domhnall Gleeson, Alicia Vikander, Oscar Isaac"
The Longest Ride,20th Century Fox,"George Tillman, Jr. (director); Craig Bolotin (screenplay); Britt Robertson, Scott Eastwood, Jack Huston, Oona Chaplin, Alan Alda"
Lost River,Warner Bros. Pictures,"Ryan Gosling (director/screenplay); Christina Hendricks, Saoirse Ronan, Iain De Caestecker, Matt Smith, Eva Mendes, Ben Mendelsohn"
1915,Bloodvine Media,"Garin Hovannisian, Alec Mouhibian (director/screenplay); Simon Abkarian, Angela Sarafyan, Nikolai Kinski, Debra Christofferson, Jim Piddock, Samuel Page"
Alex of Venice,Screen Media Films,"Chris Messina (director); Jessica Goldberg, Katie Nehra, Justin Shilton (screenplay); Mary Elizabeth Winstead, Don Johnson, Derek Luke, Katie Nehra, Chris Messina, Skylar Gaertner, Reg E. Cathey, Timm Sharp"
Beyond the Reach,Lionsgate,"Jean-Baptiste Léonetti (director); Stephen Susco (screenplay); Michael Douglas, Jeremy Irvine, Hanna Mangan-Lawrence, Ronny Cox"
Child 44,Summit Entertainment / Worldview Entertainment / Scott Free Productions,"Daniel Espinosa (director); Richard Price (screenplay); Tom Hardy, Gary Oldman, Noomi Rapace, Joel Kinnaman, Paddy Considine, Jason Clarke, Vincent Cassel"
Monkey Kingdom,Walt Disney Studios Motion Pictures,"Mark Linfield, Alastair Fothergill (director); Tina Fey (narrator)"
Paul Blart: Mall Cop 2,Columbia Pictures / Happy Madison Productions,"Andy Fickman (director); Kevin James, Nick Bakay (screenplay); Kevin James, Raini Rodriguez, Neal McDonough, Shirley Knight"
The Road Within,Well GO USA,"Gren Wells (director/screenplay); Robert Sheehan, Dev Patel, Zoë Kravitz, Robert Patrick, Kyra Sedgwick"
True Story,Fox Searchlight Pictures / Regency Enterprises / Plan B Entertainment,"Rupert Goold (director/screenplay); David Kajganich (screenplay); Jonah Hill, James Franco, Felicity Jones"
Unfriended,Universal Pictures / Blumhouse Productions,"Levan Gabriadze (director); Nelson Greaves (screenplay); Shelley Hennig, Moses Storm, Renee Olstead, Will Peltz, Jacob Wysocki, Courtney Halverson, Heather Sossaman"
Adult Beginners,The Weinstein Company,"Ross Katz (director); Jeff Cox, Liz Flahive (screenplay); Rose Byrne, Nick Kroll, Bobby Cannavale, Joel McHale"
Blackbird,RLJ Entertainment,"Patrik-Ian Polk (director/screenplay); Rikki Beadle-Blair (screenplay); Mo'Nique, Isaiah Washington, Julian Walker, Kevin Allesee, Gary LeRoi Gray, Nikki Jane, Torrey Laamar, Terrell Tilford, D. Woods"
Brotherly Love,Freestyle Releasing,"Jamal Hill (director/screenplay); Keke Palmer, Cory Hardrict, Quincy Brown, Romeo Miller, Eric D. Hill Jr., Macy Gray, Malik Yoba, Faizon Love"
Just Before I Go,Anchor Bay Films,"Courteney Cox (director); David Flebotte (screenplay); Seann William Scott, Olivia Thirlby, Garret Dillahunt, Kate Walsh, Kyle Gallner, Evan Ross, Rob Riggle, Mackenzie Marsh, Missi Pyle, Connie Stevens, David Arquette, Elisha Cuthbert, Cleo King"
Little Boy,Open Road Films,"Alejandro Gómez Monteverde (director/screenplay); Pepe Portillo (screenplay); Jakob Salvati, Emily Watson, Cary-Hiroyuki Tagawa, Michael Rapaport, David Henrie, Eduardo Verástegui, Ben Chaplin, Tom Wilkinson"
The Age of Adaline,Lionsgate / SKE Films / Lakeshore Entertainment,"Lee Toland Krieger (director); J. Mills Goodloe, Salvador Paskowitz (screenplay); Blake Lively, Michiel Huisman, Kathy Baker, Harrison Ford, Ellen Burstyn"
The Water Diviner,Warner Bros. Pictures,"Russell Crowe (director); Russell Crowe, Olga Kurylenko, Jai Courtney"
Avengers: Age of Ultron,Marvel Studios / Walt Disney Studios Motion Pictures,"Joss Whedon (director/screenplay); Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, Don Cheadle, Aaron Taylor-Johnson, Elizabeth Olsen, Paul Bettany, Cobie Smulders, Anthony Mackie, Hayley Atwell, Idris Elba, Stellan Skarsgård, James Spader, Samuel L. Jackson"
Far from the Madding Crowd,Fox Searchlight Pictures,"Thomas Vinterberg (director); David Nicholls (screenplay); Carey Mulligan, Matthias Schoenaerts, Michael Sheen, Tom Sturridge, Juno Temple"
The D Train,IFC Films,"Jarrad Paul, Andrew Mogel (director/screenplay); Jack Black, James Marsden, Kathryn Hahn, Mike White, Jeffrey Tambor"
Hot Pursuit,Warner Bros. / New Line Cinema,"Anne Fletcher (director); David Feeney, John Quaintance (screenplay); Reese Witherspoon, Sofía Vergara, John Carroll Lynch, Robert Kazinsky"
Maggie,Lionsgate,"Henry Hobson (director); John Scott 3 (screenplay); Arnold Schwarzenegger, Abigail Breslin, Joely Richardson"
Mad Max: Fury Road,Warner Bros. / Village Roadshow Pictures / RatPac Entertainment,"George Miller (director/screenplay); Brendan McCarthy, Nico Lathouris (screenplay); Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Rosie Huntington-Whiteley, Riley Keough, Zoë Kravitz, Abbey Lee, Courtney Eaton"
Pitch Perfect 2,Universal Pictures / Gold Circle Entertainment,"Elizabeth Banks (director); Kay Cannon (screenplay); Anna Kendrick, Rebel Wilson, Hailee Steinfeld, Brittany Snow, Skylar Astin, Adam DeVine, Katey Sagal, Anna Camp, Alexis Knapp, Hana Mae Lee, John Michael Higgins, Elizabeth Banks"
I'll See You in My Dreams,Bleecker Street,"Brett Haley (director/screenplay); Marc Basch (screenplay); Blythe Danner, Martin Starr, June Squibb, Rhea Perlman, Mary Kay Place, Malin Åkerman, Sam Elliott"
Poltergeist,20th Century Fox / Metro-Goldwyn-Mayer / Ghost House Pictures,"Gil Kenan (director); David Lindsay-Abaire (screenplay); Sam Rockwell, Rosemarie DeWitt, Jared Harris, Jane Adams"
Tomorrowland,Walt Disney Pictures,"Brad Bird (director/screenplay); Damon Lindelof (screenplay); George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy, Tim McGraw, Kathryn Hahn, Keegan-Michael Key"
Aloha,Columbia Pictures / Regency Enterprises / RatPac Entertainment / Vinyl Films,"Cameron Crowe (director/screenplay); Bradley Cooper, Emma Stone, Rachel McAdams, Bill Murray, John Krasinski, Danny McBride, Alec Baldwin"
San Andreas,Warner Bros. / New Line Cinema / Village Roadshow Pictures / RatPac Entertainment,"Brad Peyton (director); Carlton Cuse (screenplay); Dwayne Johnson, Carla Gugino, Alexandra Daddario, Ioan Gruffudd, Archie Panjabi, Paul Giamatti"
Barely Lethal,A24,"Kyle Newman (director); John D'Arco (screenplay); Hailee Steinfeld, Thomas Mann, Sophie Turner, Dove Cameron, Jessica Alba, Samuel L. Jackson"
Heaven Knows What,RADiUS-TWC,"Safdie brothers (director); Josh Safdie, Ronald Bronstein (screenplay); Arielle Holmes, Caleb Landry Jones, Buddy Duress, Necro, Eleonore Hendricks"
Entourage,Warner Bros. / HBO Films / RatPac Entertainment,"Doug Ellin (director/screenplay); Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara, Jeremy Piven"
Spy,20th Century Fox / TSG Entertainment / Chernin Entertainment,"Paul Feig (director/(screenplay); Melissa McCarthy, Jason Statham, Rose Byrne, Miranda Hart, Bobby Cannavale, Allison Janney, Jude Law"
Insidious: Chapter 3,Focus Features / Blumhouse Productions,"Leigh Whannell (director/screenplay); Dermot Mulroney, Stefanie Scott, Angus Sampson, Leigh Whannell, Lin Shaye"
Love & Mercy,Lionsgate / Roadside Attractions,"Bill Pohlad (director); Oren Moverman, Michael Alan Lerner (screenplay); John Cusack, Paul Dano, Elizabeth Banks, Paul Giamatti"
Jurassic World,Universal Pictures / Amblin Entertainment / Legendary Pictures,"Colin Trevorrow (director/screenplay); Rick Jaffa, Amanda Silver, Derek Connolly (screenplay); Chris Pratt, Bryce Dallas Howard, Vincent D'Onofrio, Ty Simpkins, Nick Robinson, Omar Sy, BD Wong, Irrfan Khan"
Me and Earl and the Dying Girl,Fox Searchlight Pictures / Indian Paintbrush,"Alfonso Gomez-Rejon (director); Jesse Andrews (screenplay); Thomas Mann, Olivia Cooke, RJ Cyler, Nick Offerman, Molly Shannon, Jon Bernthal, Connie Britton"
Dope,Open Road Films,"Rick Famuyiwa (director/screenplay); Shameik Moore, Tony Revolori, Kiersey Clemons, Kimberly Elise, Chanel Iman, Tyga, Blake Anderson, Zoë Kravitz, ASAP Rocky"
Inside Out,Walt Disney Pictures / Pixar Animation Studios,"Pete Docter (director/screenplay); Meg LeFauve, Josh Cooley (screenplay); Amy Poehler, Phyllis Smith, Richard Kind, Lewis Black, Bill Hader, Mindy Kaling, Kaitlyn Dias, Diane Lane, Kyle MacLachlan"
Max,Warner Bros. Pictures / Metro-Goldwyn-Mayer,"Boaz Yakin (director/screenplay); Sheldon Lettich (screenplay); Josh Wiggins, Lauren Graham, Thomas Haden Church"
Ted 2,Universal Pictures / Media Rights Capital / Fuzzy Door Productions / Bluegrass Films,"Seth MacFarlane (director/screenplay); Alec Sulkin, Wellesley Wild (screenplay); Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Morgan Freeman"
Terminator Genisys,Paramount Pictures / Skydance Productions,"Alan Taylor (director); Laeta Kalogridis, Patrick Lussier (screenplay); Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney, J. K. Simmons, Dayo Okeniyi, Matt Smith, Courtney B. Vance, Michael Gladis, Sandrine Holt, Lee Byung-hun"
Magic Mike XXL,Warner Bros. Pictures / RatPac Entertainment,"Gregory Jacobs (director); Reid Carolin (screenplay); Channing Tatum, Matt Bomer, Joe Manganiello, Kevin Nash, Adam Rodríguez, Gabriel Iglesias, Amber Heard, Donald Glover, Andie MacDowell, Elizabeth Banks, Jada Pinkett Smith"
Amy,A24,Asif Kapadia (director); Amy Winehouse
Minions,Universal Pictures / Illumination Entertainment,"Pierre Coffin, Kyle Balda (director); Brian Lynch (screenplay); Pierre Coffin, Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney, Steve Coogan, Jennifer Saunders"
The Gallows,Warner Bros. Pictures,"Chris Lofing, Travis Cluff (director/screenplay); Reese Mishler, Pfeifer Brown, Ryan Shoos, Cassidy Gifford"
Self/Less,Focus Features,"Tarsem Singh (director); Alex Pastor, David Pastor (screenplay); Ryan Reynolds, Natalie Martinez, Matthew Goode, Victor Garber, Derek Luke, Ben Kingsley"
Tangerine,Magnolia Pictures,"Sean Baker (director/screenplay); Chris Bergoch (screenplay); Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan, Alla Tumanian, James Ransone"
Boulevard,Starz Digital,"Dito Montiel (director); Douglas Soesbe (screenplay); Robin Williams, Kathy Baker, Roberto Aguire, Giles Matthey, Bob Odenkirk"
Strangerland,Alchemy,"Kim Farrant (director); Fiona Seres, Michael Kinirons (screenplay); Nicole Kidman, Joseph Fiennes, Hugo Weaving, Lisa Flanagan, Meyne Wyatt, Maddison Brown, Nicholas Hamilton"
Ant-Man,Marvel Studios / Walt Disney Studios Motion Pictures,"Peyton Reed (director); Edgar Wright, Joe Cornish, Adam McKay, Paul Rudd (screenplay); Paul Rudd, Evangeline Lilly, Corey Stoll, Bobby Cannavale, Michael Peña, Tip ""T.I."" Harris, Anthony Mackie, Wood Harris, Judy Greer, David Dastmalchian, Michael Douglas"
Trainwreck,Universal Pictures,"Judd Apatow (director); Amy Schumer (screenplay); Amy Schumer, Bill Hader, Brie Larson, Colin Quinn, John Cena, Vanessa Bayer, Tilda Swinton, Ezra Miller, LeBron James, Mike Birbiglia"
Irrational Man,Sony Pictures Classics,"Woody Allen (director/screenplay); Jamie Blackley, Joaquin Phoenix, Parker Posey, Emma Stone"
Mr. Holmes,Miramax / Roadside Attractions,"Bill Condon (director); Jeffrey Hatcher (screenplay); Ian McKellen, Laura Linney, Hiroyuki Sanada, Milo Parker"
Pixels,Columbia Pictures / Happy Madison Productions / 1492 Pictures,"Chris Columbus (director); Tim Herlihy, Timothy Dowling (screenplay); Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage, Josh Gad, Brian Cox, Michael Douglas, Diane Keaton, Sterling Jerins"
Southpaw,The Weinstein Company,"Antoine Fuqua (director); Kurt Sutter (screenplay); Jake Gyllenhaal, Forest Whitaker, Naomie Harris, Curtis ""50 Cent"" Jackson, Oona Laurence, Rachel McAdams"
Paper Towns,20th Century Fox,"Jake Schreier (director); Scott Neustadter, Michael H. Weber (screenplay); Nat Wolff, Cara Delevingne, Halston Sage, Justice Smith, Austin Abrams"
The Vatican Tapes,Lionsgate,"Mark Neveldine (director); Christopher Borrelli, Michael C. Martin (screenplay); Olivia Taylor Dudley, Michael Peña, Dougray Scott, Djimon Hounsou"
Vacation,Warner Bros. Pictures / RatPac Entertainment,"Jonathan Goldstein, John Francis Daley (director/screenplay); Ed Helms, Christina Applegate, Leslie Mann, Beverly D'Angelo, Chevy Chase"
Mission Impossible: Rogue Nation,Paramount Pictures / Skydance Productions / Bad Robot Productions,"Christopher McQuarrie (director/screenplay); Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson, Ving Rhames, Sean Harris, Alec Baldwin"
Shaun the Sheep Movie,Lionsgate / StudioCanal / Aardman Animations,"Mark Burton (director); Justin Fletcher, John Sparkes"
Fantastic Four,20th Century Fox / Marvel Entertainment,"Josh Trank (director); Jeremy Slater, Simon Kinberg (screenplay); Miles Teller, Michael B. Jordan, Kate Mara, Jamie Bell, Toby Kebbell"
The Gift,STX Entertainment,"Joel Edgerton (director/screenplay); Jason Bateman, Rebecca Hall, Joel Edgerton"
Ricki and the Flash,Tristar Pictures,"Jonathan Demme (director); Diablo Cody (screenplay); Meryl Streep, Kevin Kline, Mamie Gummer, Audra McDonald, Sebastian Stan, Rick Springfield"
Straight Outta Compton,Universal Pictures / Legendary Pictures,"F. Gary Gray (director); Jonathan Herman, Andrea Berloff (screenplay); O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr., Aldis Hodge, Paul Giamatti"
